iter	RMSE
0	18.25449108
1	17.63890631
2	17.07156366
3	16.52940141
4	16.02337826
5	15.55046674
6	15.10531337
7	14.69123591
8	14.30385951
9	13.94339065
10	13.60520325
11	13.29108724
12	12.99975152
13	12.73033248
14	12.47525614
15	12.23830118
16	12.01945843
17	11.81619953
18	11.61625776
19	11.43979271
20	11.27374989
21	11.12097689
22	10.97659198
23	10.84365991
24	10.72286017
25	10.60617632
26	10.50030801
27	10.40254014
28	10.3135979
29	10.23013018
30	10.15366616
31	10.06297354
32	9.993573332
33	9.919378181
34	9.861459372
35	9.807263667
36	9.746748746
37	9.700364909
38	9.647843743
39	9.59907775
40	9.561601032
41	9.52709128
42	9.49300996
43	9.455669333
44	9.426869315
45	9.400347427
46	9.362989873
47	9.33803538
48	9.310935711
49	9.285848595
50	9.262829798
51	9.244207109
52	9.22630642
53	9.210945008
54	9.195850945
55	9.179131352
56	9.156268128
57	9.143718027
58	9.131878577
59	9.118961581
60	9.106398849
61	9.096581427
62	9.087311492
63	9.078300921
64	9.069649369
65	9.062001163
66	9.046627013
67	9.03256674
68	9.019652265
69	9.013278124
70	9.006172927
71	8.995111547
72	8.989937055
73	8.985209628
74	8.976129279
75	8.967403935
76	8.963220262
77	8.959198076
78	8.951476778
79	8.947840477
80	8.944189388
81	8.937627344
82	8.934461105
83	8.928467936
84	8.924939642
85	8.919698639
86	8.916555852
87	8.914206603
88	8.911753876
89	8.909607798
90	8.905286463
91	8.903068403
92	8.89922638
93	8.897088876
94	8.895036069
95	8.89154985
96	8.888410503
97	8.886796877
98	8.883954682
99	8.881359559
100	8.879700857
101	8.878406567
102	8.877009274
103	8.875810269
104	8.874472933
105	8.873166701
106	8.872029796
107	8.869883054
108	8.867974751
109	8.866205681
110	8.865237533
111	8.863922776
112	8.863035418
113	8.862160061
114	8.861144449
115	8.859602897
116	8.858747806
117	8.85805794
118	8.857286033
119	8.856000118
120	8.855142887
121	8.85392389
122	8.853311191
123	8.852579213
124	8.851445044
125	8.850785097
126	8.850277101
127	8.849621102
128	8.849034563
129	8.848362776
130	8.847797233
131	8.847359484
132	8.846770552
133	8.846269503
134	8.845540083
135	8.84495776
136	8.84440187
137	8.843952736
138	8.843134724
139	8.842330997
140	8.841873679
141	8.84133106
142	8.840891196
143	8.840454452
144	8.839998384
145	8.839421532
146	8.838952391
147	8.838620161
148	8.838117752
149	8.837410559
150	8.836931433
151	8.836335069
152	8.836009927
153	8.835653334
154	8.835148062
155	8.834645904
156	8.834119911
157	8.833633418
158	8.833049861
159	8.83258757
160	8.832067744
161	8.831645391
162	8.831164154
163	8.830649637
164	8.830211488
165	8.82984747
166	8.829538718
167	8.829235797
168	8.828924776
169	8.828570594
170	8.828207408
171	8.827630234
172	8.827290386
173	8.82700582
174	8.826773395
175	8.826501401
176	8.826179044
177	8.825816658
178	8.825554526
179	8.825256865
180	8.825040132
181	8.824793266
182	8.824423179
183	8.824007206
184	8.823608753
185	8.823191393
186	8.822883756
187	8.822583306
188	8.822248211
189	8.821855976
190	8.821595976
191	8.821274788
192	8.821027367
193	8.820683665
194	8.820378641
195	8.820141542
196	8.819853596
197	8.819425259
198	8.819212433
199	8.81901715
200	8.818607672
201	8.818327326
202	8.817831861
203	8.817575793
204	8.817285513
205	8.817067234
206	8.816717976
207	8.816474028
208	8.81605678
209	8.815847473
210	8.815660668
211	8.815410839
212	8.815161902
213	8.814933667
214	8.814556413
215	8.814325911
216	8.814116113
217	8.813874794
218	8.813657331
219	8.813466878
220	8.813229594
221	8.813051739
222	8.812744199
223	8.812547872
224	8.81211918
225	8.811918786
226	8.811585087
227	8.811302266
228	8.810938368
229	8.810584814
230	8.810336192
231	8.81014927
232	8.809780369
233	8.809564607
234	8.809226314
235	8.809007836
236	8.808776738
237	8.808504639
238	8.808251453
239	8.80795636
240	8.807748212
241	8.807536455
242	8.807263417
243	8.806954323
244	8.806709653
245	8.806410003
246	8.80623201
247	8.805746681
248	8.805532622
249	8.805330727
250	8.805003989
251	8.804816503
252	8.804652901
253	8.804431604
254	8.804217965
255	8.804015588
256	8.803560788
257	8.803198373
258	8.803029331
259	8.802708818
260	8.802503702
261	8.80226477
262	8.802051529
263	8.801813035
264	8.801529899
265	8.80138923
266	8.80116695
267	8.800959995
268	8.800678635
269	8.800427028
270	8.800133477
271	8.799944534
272	8.799700121
273	8.799518836
274	8.799153098
275	8.798880701
276	8.798421125
277	8.798090973
278	8.797732392
279	8.797559636
280	8.797297565
281	8.797135176
282	8.79688888
283	8.796572655
284	8.796378223
285	8.796085439
286	8.795805728
287	8.795577893
288	8.795308544
289	8.795151983
290	8.794916461
291	8.79476215
292	8.794505861
293	8.794158415
294	8.793905718
295	8.793753194
296	8.793571335
297	8.793227462
298	8.793077634
299	8.792828517
300	8.792593384
301	8.792372687
302	8.792200277
303	8.792024254
304	8.79181934
305	8.791563416
