iter	Passed	Remaining
0	4	8617
1	9	9454
2	13	9068
3	18	8994
4	22	8828
5	26	8760
6	30	8674
7	34	8533
8	38	8491
9	42	8396
10	46	8322
11	49	8249
12	53	8234
13	58	8270
14	62	8252
15	66	8274
16	70	8275
17	74	8254
18	78	8190
19	82	8142
20	86	8124
21	90	8109
22	95	8170
23	99	8179
24	103	8188
25	107	8185
26	111	8167
27	115	8165
28	120	8163
29	123	8126
30	128	8131
31	131	8099
32	136	8118
33	140	8112
34	144	8093
35	148	8095
36	153	8119
37	156	8089
38	160	8080
39	164	8055
40	168	8029
41	172	8021
42	176	8018
43	180	8008
44	184	7998
45	188	7991
46	192	7995
47	196	7997
48	200	7977
49	204	7960
50	208	7955
51	212	7953
52	216	7954
53	220	7933
54	223	7917
55	227	7910
56	232	7909
57	235	7896
58	239	7893
59	243	7877
60	247	7867
61	251	7862
62	255	7857
63	259	7860
64	263	7857
65	267	7850
66	271	7840
67	276	7843
68	280	7836
69	285	7868
70	289	7865
71	293	7854
72	297	7848
73	301	7844
74	305	7839
75	309	7837
76	315	7878
77	320	7887
78	324	7891
79	328	7886
80	332	7880
81	336	7870
82	340	7865
83	345	7879
84	349	7868
85	353	7867
86	357	7864
87	361	7853
88	365	7850
89	369	7851
90	374	7850
91	378	7851
92	382	7838
93	386	7831
94	389	7817
95	395	7849
96	400	7848
97	404	7841
98	407	7830
99	411	7818
100	415	7816
101	420	7824
102	424	7813
103	428	7812
104	432	7810
105	437	7809
106	440	7798
107	444	7787
108	448	7778
109	452	7777
110	456	7771
111	460	7768
112	464	7764
113	469	7761
114	473	7754
115	477	7748
116	481	7744
117	485	7742
118	489	7737
119	493	7735
120	497	7726
121	501	7723
122	505	7716
123	509	7711
124	514	7713
125	519	7720
126	523	7714
127	526	7702
128	531	7705
129	535	7699
130	538	7688
131	542	7682
132	546	7677
133	551	7673
134	556	7688
135	560	7685
136	564	7677
137	568	7666
138	572	7659
139	576	7654
140	580	7651
141	584	7642
142	588	7639
143	591	7628
144	595	7618
145	599	7612
146	603	7604
147	607	7596
148	610	7584
149	614	7576
150	618	7576
151	624	7591
152	628	7583
153	632	7578
154	636	7576
155	640	7566
156	644	7565
157	648	7562
158	652	7559
159	657	7566
160	662	7567
161	667	7567
162	671	7563
163	675	7561
164	679	7559
165	684	7565
166	690	7581
167	695	7582
168	699	7578
169	703	7574
170	707	7566
171	711	7560
172	715	7554
173	719	7551
174	723	7549
175	728	7548
176	732	7540
177	736	7535
178	740	7532
179	744	7530
180	748	7526
181	753	7523
182	757	7519
183	761	7516
184	765	7510
185	770	7510
186	774	7504
187	779	7511
188	783	7504
189	787	7497
190	790	7489
191	794	7481
192	798	7475
193	802	7466
194	806	7461
195	810	7459
196	814	7456
197	818	7451
198	822	7446
199	826	7440
200	830	7436
201	835	7435
202	839	7432
203	843	7426
204	847	7422
205	851	7415
206	855	7411
207	859	7405
208	863	7401
209	867	7395
210	871	7391
211	875	7385
212	879	7377
213	883	7369
214	887	7365
215	891	7361
216	895	7359
217	899	7352
218	903	7348
219	907	7345
220	911	7339
221	915	7335
222	919	7327
223	923	7323
224	927	7317
225	931	7314
226	935	7305
227	939	7302
228	943	7294
229	946	7286
230	951	7282
231	955	7278
232	959	7275
233	963	7270
234	967	7265
235	971	7261
236	975	7258
237	980	7256
238	984	7256
239	989	7254
240	992	7247
241	997	7243
242	1001	7242
243	1006	7239
244	1010	7234
245	1013	7228
246	1017	7220
247	1021	7216
248	1025	7209
249	1029	7204
250	1032	7198
251	1037	7195
252	1041	7188
253	1044	7181
254	1048	7176
255	1052	7169
256	1057	7169
257	1060	7162
258	1065	7159
259	1069	7155
260	1073	7151
261	1077	7149
262	1082	7150
263	1087	7149
264	1091	7145
265	1095	7138
266	1098	7131
267	1102	7124
268	1106	7117
269	1110	7113
270	1114	7110
271	1118	7107
272	1122	7102
273	1126	7098
274	1131	7094
275	1135	7091
276	1139	7086
277	1144	7091
278	1148	7086
279	1153	7082
280	1157	7078
281	1161	7074
282	1165	7071
283	1169	7063
284	1173	7061
285	1177	7056
286	1181	7052
287	1185	7045
288	1189	7041
289	1193	7037
290	1197	7033
291	1201	7030
292	1205	7025
293	1209	7018
294	1213	7010
295	1217	7006
296	1220	6999
297	1224	6993
298	1228	6986
299	1231	6980
300	1235	6975
301	1240	6977
302	1245	6978
303	1250	6977
304	1254	6973
305	1258	6969
306	1263	6965
307	1266	6959
308	1270	6954
309	1275	6951
310	1279	6947
311	1283	6943
312	1287	6936
313	1291	6932
314	1294	6925
315	1298	6920
316	1302	6917
317	1306	6912
318	1310	6905
319	1314	6902
320	1318	6896
321	1322	6891
322	1326	6886
323	1330	6882
324	1335	6882
325	1339	6878
326	1343	6874
327	1348	6873
328	1352	6867
329	1355	6860
330	1359	6855
331	1364	6855
332	1368	6849
333	1372	6847
334	1376	6843
335	1380	6838
336	1384	6834
337	1388	6829
338	1392	6823
339	1396	6817
340	1400	6811
341	1403	6806
342	1408	6802
343	1413	6805
344	1417	6801
345	1421	6794
346	1425	6789
347	1428	6782
348	1432	6776
349	1436	6771
350	1441	6771
351	1445	6766
352	1449	6761
353	1453	6756
354	1456	6751
355	1461	6748
356	1465	6742
357	1469	6738
358	1473	6734
359	1477	6729
360	1481	6725
361	1485	6721
362	1489	6718
363	1494	6717
364	1499	6715
365	1503	6713
366	1508	6710
367	1512	6706
368	1516	6703
369	1520	6697
370	1524	6691
371	1528	6688
372	1532	6684
373	1536	6680
374	1540	6676
375	1544	6672
376	1548	6665
377	1553	6667
378	1557	6661
379	1561	6657
380	1565	6653
381	1569	6647
382	1574	6645
383	1577	6639
384	1581	6634
385	1585	6628
386	1589	6625
387	1594	6625
388	1599	6622
389	1603	6621
390	1608	6617
391	1611	6611
392	1615	6605
393	1619	6602
394	1623	6597
395	1627	6591
396	1631	6587
397	1635	6583
398	1639	6578
399	1643	6573
400	1648	6571
401	1653	6570
402	1657	6567
403	1661	6563
404	1667	6566
405	1671	6561
406	1677	6564
407	1680	6558
408	1684	6554
409	1688	6549
410	1693	6546
411	1697	6541
412	1701	6536
413	1705	6532
414	1709	6529
415	1713	6524
416	1717	6518
417	1720	6513
418	1724	6508
419	1728	6503
420	1733	6501
421	1736	6495
422	1741	6493
423	1746	6491
424	1750	6485
425	1753	6480
426	1758	6476
427	1762	6472
428	1766	6468
429	1772	6470
430	1776	6466
431	1780	6462
432	1786	6463
433	1789	6458
434	1793	6453
435	1797	6448
436	1801	6443
437	1805	6438
438	1809	6432
439	1813	6429
440	1817	6425
441	1821	6419
442	1825	6414
443	1828	6409
444	1833	6405
445	1836	6400
446	1840	6395
447	1844	6390
448	1849	6387
449	1852	6382
450	1856	6377
451	1860	6373
452	1865	6370
453	1870	6368
454	1874	6364
455	1878	6361
456	1883	6358
457	1887	6354
458	1891	6350
459	1895	6346
460	1899	6342
461	1904	6339
462	1908	6335
463	1913	6332
464	1916	6327
465	1920	6323
466	1924	6318
467	1929	6315
468	1933	6311
469	1937	6306
470	1941	6303
471	1945	6298
472	1949	6294
473	1953	6288
474	1957	6284
475	1962	6282
476	1966	6279
477	1971	6276
478	1975	6271
479	1980	6270
480	1984	6265
481	1988	6262
482	1992	6258
483	1996	6253
484	2000	6248
485	2003	6242
